Porosity (%)	Depth (m)
30.64194009	1514.410441
31.55492154	1480.157287
31.89728959	1480.206336
32.69614836	1451.667491
32.12553495	1468.777718
31.7831669	1508.843282
32.12553495	1508.892331
32.467903	1491.749404
32.69614836	1480.320786
33.15263909	1480.386186
33.49500713	1474.704577
33.26676177	1514.78649
33.49500713	1514.81919
33.95149786	1509.153931
34.40798859	1509.219331
34.75035663	1509.26838
34.86447932	1497.823412
34.86447932	1457.708799
35.54921541	1480.729535
35.32097004	1480.696835
34.52211127	1480.582385
34.29386591	1474.819026
34.86447932	1480.631435
20.4850214	1484.302
20.71326676	1455.681405
20.37089872	1472.824332
18.77318117	1461.134115
17.9743224	1461.019665
18.43081312	1506.930337
18.08844508	1501.150628
17.51783167	1512.530196
17.74607703	1501.101578
17.06134094	1518.195456
16.94721826	1500.987128
16.60485021	1495.20742
16.37660485	1506.636038
16.49072753	1575.420296
16.94721826	1575.485696
16.83309558	1564.008028
17.28958631	1546.881451
15.80599144	1540.938242
15.69186876	1581.036505
15.23537803	1575.240447
14.43651926	1563.664679
14.09415121	1517.770357
15.00713267	1517.901156
15.4636234	1506.505238
15.00713267	1506.439838
15.80599144	1460.709016
14.43651926	1460.512816
14.32239658	1483.419102
13.86590585	1546.390952
13.18116976	1557.75417
12.72467903	1529.035475
12.72467903	1569.150088
12.49643367	1551.925412
12.2681883	1534.700735
12.03994294	1528.937376
11.46932953	1500.202331
11.0128388	1488.675613
10.67047076	1488.626563
10.09985735	1488.544813
9.529243937	1505.65504
9.186875892	1522.797968
8.616262482	1522.716218
8.958630528	1545.687904
9.529243937	1562.961631
10.55634807	1568.839439
11.0128388	1568.904839
11.35520685	1563.22323
11.81169757	1557.557971
11.12696148	1534.537235
10.09985735	1522.928767
9.643366619	1534.324686
10.21398003	1545.867753
10.55634807	1545.916803
10.67047076	1523.010517
10.21398003	1511.483799
10.89871612	1511.581899
11.35520685	1528.839276
